nct_id,phase,why_stopped,start_date,category,phase_clean
NCT03387046,PHASE2,Study was terminated early due to slow recruitment rate.,2018-03-26,enrollment,PHASE2
NCT04449588,"PHASE2, PHASE3","Due to the COVID-19 epidemic situation, the sponsor has decided to terminate the project.",2020-07-23,unknown,PHASE3
NCT03254927,PHASE2,Sponsor decision based on emerging risk-benefit profile,2018-03-27,strategy/business,PHASE2
NCT02769169,"PHASE2, PHASE3",study protocol changed,2018-08-01,operational,PHASE3
NCT03333083,PHASE3,The reason for the premature termination was the failure to reach the required number of participants.,2018-05-03,unknown,PHASE3
NCT02346422,"PHASE1, PHASE2",Sponsor has suspended clinical development of MYDICAR for heart failure.,Apr-15,unknown,PHASE2
NCT04871529,PHASE2,inability to accrue sufficient patients,2022-08-10,enrollment,PHASE2
NCT04680637,PHASE2,The trial was terminated prematurely as it met pre-defined criteria for futility at IA3.,2021-05-06,unknown,PHASE2
NCT03622775,PHASE2,\<75% participation,2019-04-11,unknown,PHASE2
NCT03506373,PHASE2,Discontinued after interim analysis for futility; no treatment successes observed in the first 12 patients,2018-08-14,enrollment,PHASE2
NCT04029545,PHASE3,The study was placed on hold for the FDA review of revisions of the protocol. Review time resulted in roll-over subjects to be out of window for enrollment.,2019-06-14,enrollment,PHASE3
NCT03284957,"PHASE1, PHASE2","Sponsor decision to prematurely stop the study, not linked to any safety concern.",2017-09-20,safety,PHASE2
NCT04577001,PHASE2,Low Recruitment Numbers,2021-02-18,enrollment,PHASE2
NCT05292196,PHASE2,Per sponsor request. Closure was not prompted by any safety or efficacy concerns.,2022-05-20,efficacy,PHASE2
NCT04410354,PHASE2,Failure to meet primary endpoint,2020-06-16,unknown,PHASE2
NCT02530437,"PHASE1, PHASE2",The sponsor sold the drug TALADEGIB to another company during the trial and thereafter no drug was available. The sponsor made a decision to stop development of this drug Taladegib.,2017-03-07,unknown,PHASE2
NCT05181995,"PHASE2, PHASE3",company decision,2021-12-13,strategy/business,PHASE3
NCT04415073,PHASE2,"Given enrollment challenges, partly attributable to the constantly changing COVID-19 treatment landscape, the trial has been closed.",2020-05-30,enrollment,PHASE2
NCT04251169,PHASE2,The enrollment was stopped prematurely due to the lack of funding,2020-07-21,enrollment,PHASE2
NCT05563272,PHASE2,"Indication scouting for TLX250-CDx will continue in theranostic studies, with a therapeutic component in the study design.",2023-06-06,unknown,PHASE2
NCT03657095,PHASE3,"The pivotal study, BPS-314d-MR-PAH-302 (NCT01908699), failed to demonstrate efficacy.",2018-12-10,efficacy,PHASE3
NCT02651675,"PHASE1, PHASE2",Terminated by Sponsor for Business Reasons,Mar-16,strategy/business,PHASE2
NCT06061081,PHASE2,Sponsor decision,2023-12-21,strategy/business,PHASE2
NCT03712930,PHASE2,Sponsor's decision to revisit the development approach for prostate cancer.,2019-02-05,unknown,PHASE2
NCT03181828,"PHASE1, PHASE2",The incidence of AEs was higher than the IB reported.,2017-03-24,unknown,PHASE2
NCT03993379,PHASE2,Sponsor's Decision,2019-11-20,unknown,PHASE2
NCT02657005,"PHASE1, PHASE2",Sponsor Decision,Aug-16,strategy/business,PHASE2
NCT03316222,"PHASE1, PHASE2","only phase 1b was completed and the phase 2 will be an another study, finally",2018-04-04,unknown,PHASE2
NCT04476329,PHASE2,"Enrollment rate not sufficient to meet funding entity's corporation timeline expectations, entity terminated study's fiscal support. Termination decision was purely administrative in nature and did not involve drug or patient safety issues.",2021-01-21,safety,PHASE2
NCT05005182,PHASE2,Slow accrual,2023-02-20,unknown,PHASE2
NCT03807479,PHASE2,less recruting,2018-12-11,unknown,PHASE2
NCT05760703,PHASE2,"The preliminary effectiveness data observed at present did not meet the expectations, the benefit of the subjects receiving the experimental drug was limited.",2023-04-25,unknown,PHASE2
NCT05397470,PHASE3,Sponsor Decision,2022-06-16,strategy/business,PHASE3
NCT03949673,PHASE2,Lack of enrollment,2019-04-08,enrollment,PHASE2
NCT03746054,PHASE3,Inclusions stopped on 25MAR2022 due to lack of inclusion Last follow-up on 16APR2024,2019-12-20,unknown,PHASE3
NCT05038020,PHASE2,Study terminated due to safety findings in other AKST4290 studies,2021-08-17,safety,PHASE2
NCT02811159,PHASE2,Business decision,2016-07-26,strategy/business,PHASE2
NCT04947579,PHASE2,The study has been terminated due to Non-Safety reasons because of lack of efficacy in the short-term acute phase.,2021-08-25,efficacy,PHASE2
NCT02811679,PHASE2,Study closed early due to slow accrual,Aug-16,unknown,PHASE2
NCT05657496,"PHASE1, PHASE2",Principal Investigator is Retiring.,2022-12-28,unknown,PHASE2
NCT04344288,PHASE2,Competent Authority's decision,2020-04-21,unknown,PHASE2
NCT02859727,"PHASE2, PHASE3",All participant have transitioned to commercial product or compassionate use.,2016-09-08,unknown,PHASE3
NCT04592861,PHASE3,Study administratively closed out by the Einstein IRB. NO US enrolling sites.,2020-11-01,enrollment,PHASE3
NCT02533570,PHASE2,Sponsor decision based on portfolio prioritization,Jul-15,strategy/business,PHASE2
NCT03693105,"PHASE2, PHASE3",Funding discontinued.,2024-06-30,unknown,PHASE3
NCT02849951,PHASE3,LT-02 did not appear to help induce remission of UC,Jul-16,unknown,PHASE3
NCT03711929,PHASE3,Business decision,2018-11-19,strategy/business,PHASE3
NCT02317783,PHASE2,Enrollment challenges,2018-01-31,enrollment,PHASE2
NCT02352831,"PHASE1, PHASE2",Insufficient funding and drug supply from manufacturer,2015-08-31,unknown,PHASE2
NCT02760602,PHASE3,Insufficient scientific evidence that solanezumab would likely demonstrate a meaningful benefit to participants with prodromal AD as defined by study protocol.,Jun-16,operational,PHASE3
NCT05679401,PHASE3,"Company decision, not due to any safety reason.",2022-12-22,safety,PHASE3
NCT06341712,PHASE2,The sponsor has decided to terminate the CabOSTar study due to ongoing recruitment challenges,2024-11-22,enrollment,PHASE2
NCT05760781,PHASE2,"The preliminary effectiveness data observed at present did not meet the expectations, the benefit of the subjects receiving the experimental drug was limited.",2023-04-25,unknown,PHASE2
NCT03970330,PHASE3,"Original PI left institution, lack of funding to continue",2020-01-16,unknown,PHASE3
NCT03232892,PHASE2,Low Accrual,2018-02-13,unknown,PHASE2
NCT03827213,PHASE2,Ran out of medication,2019-01-22,unknown,PHASE2
NCT02759120,PHASE3,Terminated for futility after review of first planned interim analysis.,2017-03-22,unknown,PHASE3
NCT02613182,PHASE2,NEOD001 program terminated due to lack of clinical benefit,Feb-16,unknown,PHASE2
NCT04641962,PHASE2,Due to failure to meet the pre-specified criteria for efficacy,2021-05-24,efficacy,PHASE2
NCT02685046,PHASE2,Low accrual rate,Apr-16,unknown,PHASE2
NCT02974803,PHASE2,Very slow accrual,2018-02-09,unknown,PHASE2
NCT03202186,PHASE3,Inability to recruit subjects,2017-08-01,enrollment,PHASE3
NCT04410042,PHASE3,Per sponsor,2021-01-29,unknown,PHASE3
NCT03407170,PHASE2,Lack of Accrual,2018-06-28,unknown,PHASE2
NCT05418673,PHASE3,Sponsor Decision,2022-08-26,strategy/business,PHASE3
NCT01952054,PHASE2,,2015-02-09,unknown,PHASE2
NCT03178201,PHASE2,PI left institution,2017-08-20,unknown,PHASE2
NCT04714619,PHASE2,Sponsor decision,2021-05-06,strategy/business,PHASE2
NCT02468414,PHASE2,No statistical analysis was performed as only one subject was treated with MDGN201 TARGTEPO due to the Sponsor's decision to discontinue study.,Jun-15,unknown,PHASE2
NCT03714555,PHASE2,Study was closed due to low subject enrollment at site.,2019-10-17,enrollment,PHASE2
NCT04543955,PHASE2,Sponsor cancelled research,2021-09-13,unknown,PHASE2
NCT03903640,PHASE2,The study was terminated early on 03/09/2022 due to low accrual during the COVID-19 pandemic.,2019-10-14,unknown,PHASE2
NCT02633540,PHASE2,Slow accrual,2015-11-16,unknown,PHASE2
NCT02855268,PHASE2,The results of the futility analysis led to the study termination. No unexpected safety findings were identified.,2019-11-02,safety,PHASE2
NCT06408168,PHASE2,\<75% Participation,2024-08-08,unknown,PHASE2
NCT04969991,PHASE2,"Part 2 of the study was paused on 03-May-2022 due to slow enrollment following low infection rates and hospitalizations of patients with severe COVID-19, and did not recommence prior to study closure (early termination) on 22-Nov-2022.",2021-06-30,enrollment,PHASE2
NCT05261490,"PHASE1, PHASE2",A business decision was made by Pfizer to terminate and remove the Phase 2 expansion of this study for administrative reasons. The reason for study termination is not due to any safety concerns or requests from regulatory authorities.,2022-08-01,safety,PHASE2
NCT05246280,PHASE3,Sponsor Decision,2022-03-02,strategy/business,PHASE3
NCT04437368,PHASE2,Terminated for interim analysis demonstrating futility (trial highly unlikely to meet efficacy outcome). The trial is not ending early because of medical problems or concerns.,2019-04-26,efficacy,PHASE2
NCT03241810,PHASE2,Merrimack Inc. terminated the trial early due to business decision,2017-08-15,strategy/business,PHASE2
NCT02404220,"PHASE1, PHASE2",,2015-05-06,unknown,PHASE2
NCT02622724,PHASE3,Day 90 results indicate IMP did not reduce mortality or ventilator free days,2015-12-23,unknown,PHASE3
NCT02973269,PHASE2,New trial with same indication initiated,2016-11-14,unknown,PHASE2
NCT05438498,PHASE3,FDA withdrew EUA for AZD7442,2022-06-03,unknown,PHASE3
NCT02277093,PHASE2,FDA issued a clinical hold as pacritinib had increased side effects,2015-09-22,unknown,PHASE2
NCT02556593,PHASE2,,Sep-15,unknown,PHASE2
NCT03369587,PHASE2,Not feasible to restarted after Covid pandemic - analysis will be on data collected before study suspended,2017-11-02,unknown,PHASE2
NCT05516498,PHASE2,The study was ended earlier than planned due to a sponsor decision.,2022-10-31,strategy/business,PHASE2
NCT03879798,"PHASE1, PHASE2",Due to DLTs,2019-03-15,unknown,PHASE2
NCT03976076,PHASE2,Difficulty with patient recruitment due to COVID-19,2020-04-15,enrollment,PHASE2
